Algorithm,Slots,NumColors,Runs,AvgAttempts,AvgTime
Random,3,6,10,4.1,0.0016
Entropy,3,6,10,4.8,0.0016
Knuth,3,6,10,4.8,0.0012
Random,3,6,50,4.02,0.0008
Entropy,3,6,50,5.3,0.0013
Knuth,3,6,50,5.3,0.001
Random,3,6,100,4.41,0.0008
Entropy,3,6,100,5.25,0.0013
Knuth,3,6,100,5.25,0.0009
Random,4,6,10,4.9,0.0063
Entropy,4,6,10,6,0.0091
Knuth,4,6,10,6,0.0055
Random,4,6,50,4.76,0.0057
Entropy,4,6,50,5.38,0.0076
Knuth,4,6,50,5.38,0.0052
Random,4,6,100,4.46,0.0059
Entropy,4,6,100,5.62,0.0076
Knuth,4,6,100,5.64,0.0054
Random,5,6,10,5,0.0372
Entropy,5,6,10,6.2,0.0432
Knuth,5,6,10,5.8,0.0262
Random,5,6,50,5.06,0.0285
Entropy,5,6,50,6.2,0.0369
Knuth,5,6,50,6.2,0.0239
Random,5,6,100,5.14,0.0269
Entropy,5,6,100,6.17,0.035
Knuth,5,6,100,6.2,0.0224
Random,3,4,10,3.3,0.0005
Entropy,3,4,10,4.4,0.0003
Knuth,3,4,10,4.4,0.0
Random,3,4,50,3.38,0.0002
Entropy,3,4,50,4.06,0.0004
Knuth,3,4,50,4.06,0.0002
Random,3,4,100,3.42,0.0002
Entropy,3,4,100,4.13,0.0003
Knuth,3,4,100,4.13,0.0002
Random,4,4,10,3.8,0.0009
Entropy,4,4,10,4.3,0.0009
Knuth,4,4,10,4.3,0.0007
Random,4,4,50,3.74,0.0009
Entropy,4,4,50,4.3,0.0011
Knuth,4,4,50,4.3,0.0008
Random,4,4,100,3.86,0.0009
Entropy,4,4,100,4.59,0.0012
Knuth,4,4,100,4.59,0.0008
Random,5,4,10,4.2,0.0038
Entropy,5,4,10,5.4,0.0052
Knuth,5,4,10,5.2,0.0036
Random,5,4,50,4.22,0.0038
Entropy,5,4,50,5.16,0.0058
Knuth,5,4,50,5.06,0.0035
Random,5,4,100,4.16,0.0034
Entropy,5,4,100,5.05,0.0047
Knuth,5,4,100,4.9,0.0031
Random,3,7,10,5.3,0.0018
Entropy,3,7,10,6,0.0024
Knuth,3,7,10,6,0.0022
Random,3,7,50,4.58,0.0018
Entropy,3,7,50,5.88,0.0026
Knuth,3,7,50,5.88,0.0019
Random,3,7,100,4.59,0.0016
Entropy,3,7,100,6.09,0.0026
Knuth,3,7,100,6.09,0.0017
Random,4,7,10,4.9,0.0091
Entropy,4,7,10,6,0.0128
Knuth,4,7,10,5.9,0.0086
Random,4,7,50,5.18,0.0092
Entropy,4,7,50,6.6,0.0127
Knuth,4,7,50,6.6,0.0086
Random,4,7,100,4.93,0.0093
Entropy,4,7,100,6.47,0.013
Knuth,4,7,100,6.48,0.009
Random,5,7,10,5.2,0.0636
Entropy,5,7,10,6.7,0.0861
Knuth,5,7,10,6.8,0.0531
Random,5,7,50,5.42,0.0594
Entropy,5,7,50,6.84,0.081
Knuth,5,7,50,6.84,0.0554
Random,5,7,100,5.51,0.0568
Entropy,5,7,100,6.97,0.0774
Knuth,5,7,100,6.94,0.051
